"","ASS.1","ASS.2","BET.1","BET.2","ASPL.1","ASPL.2","CC.1","CC.2","DEG.1","DEG.2","MIN.1","MIN.2","MAX.1","MAX.2","SD.1","SD.2","MT3.1","MT3.2","MT4.1","MT4.2","CLASS"
"56",0.156866279220049,0.146548356493108,58.6216216216216,1.33783783783784,2.60607182524991,72.1177341725287,0.138568129330254,0.206896551724138,6.86486486486486,1.10810810810811,25,2,12,12,5.16130047412743,2.40756551607219,1572,25,13414,38,"i_gpI"
"57",0.0475788018665034,0.272572402044293,33.9508196721311,12.016393442623,2.13169398907104,53.5644808743169,0.227396329027872,0,10.4590163934426,2,18,5,43,38,5.39312454424397,2.19848432637882,2496,34,24780,55,"i_gpI"
"58",0.078736374223679,0.0483306647690214,37.265625,7.109375,2.18303571428571,58.0381944444444,0.167650531286895,0,9.6875,1.84375,26,6,33,33,4.8201791444019,2.48946191674439,2257,37,21682,84,"i_gpI"
"59",0.115164118925481,0.245178951637433,33.4754098360656,9.50819672131147,2.11584699453552,52.0710382513661,0.224503311258278,0.206896551724138,10.9508196721311,2.88524590163934,27,5,42,6,7.22824605167855,4.25871013592824,2568,75,26315,191,"i_gpI"
"60",-0.101601216859391,-0.202015683058072,36.6984126984127,21.2698412698413,2.18381976446493,48.8924731182796,0.230851442821518,0.0779220779220779,9.49206349206349,2.31746031746032,31,8,12,13,7.38977719309897,3.25192447649377,2375,73,24493,176,"i_gpI"
"61",-0.0542606997289959,-0.408569671439689,33.1,23.3166666666667,2.12203389830508,40.9570621468927,0.221476510067114,0.0229007633587786,10.8,2.96666666666667,5,2,20,20,7.29940791655072,4.39940930806478,2540,129,25957,446,"i_gpI"
"62",0.185925646472845,0.253475164123952,38.0169491525424,1.42372881355932,2.31092928112215,56.3033313851549,0.245975855130785,0.384615384615385,8.50847457627119,2.3728813559322,1,1,13,9,8.44530655484909,5.14244777716345,1662,58,14960,132,"i_gpI"
"63",-0.0846537546752622,0.242424242424243,36.8909090909091,0.981818181818182,2.36632996632997,53.6909090909091,0.189814814814815,0,6.4,0.727272727272727,16,2,14,10,4.63720861119097,1.64940556581416,1132,12,8794,16,"i_gpI"
"64",-0.0268266582418896,0.010222553508679,38.1904761904762,14.9365079365079,2.23195084485407,55.2278545826933,0.200329760923331,0.0769230769230769,9.20634920634921,2.06349206349206,23,4,1,1,6.56274610637447,2.99931721193995,2102,37,20140,56,"i_gpI"
"65",0.30744355831068,0.366065370382637,36.6507936507937,3.47619047619048,2.18228366615463,58.3502304147465,0.222936763129689,0.287671232876712,10.7936507936508,2.95238095238095,8,4,12,12,8.86849940057638,6.42933943185098,2383,59,23600,139,"i_gpI"
